TimeStamp,people_count
2019-12-02 07:10:00,0.0
2019-12-02 07:20:57,0.0
2019-12-02 07:31:54,0.0
2019-12-02 07:42:51,0.0
2019-12-02 07:53:48,0.0
2019-12-02 08:04:45,159.0
2019-12-02 08:15:42,56.0
2019-12-02 08:26:39,122.0
2019-12-02 08:37:36,281.0
2019-12-02 08:48:33,438.0
2019-12-02 08:59:30,579.0
2019-12-02 09:10:27,703.0
2019-12-02 09:21:24,737.0
2019-12-02 09:32:21,872.0
2019-12-02 09:43:18,996.0
2019-12-02 09:54:15,944.0
2019-12-02 10:05:12,983.0
2019-12-02 10:16:09,1117.0
2019-12-02 10:27:06,1066.0
2019-12-02 10:38:03,1130.0
2019-12-02 10:49:00,925.0
2019-12-02 10:59:57,575.0
2019-12-02 11:10:54,575.0
2019-12-02 11:21:51,706.0
2019-12-02 11:32:48,666.0
2019-12-02 11:43:45,681.0
2019-12-02 11:54:42,797.0
2019-12-02 12:05:39,861.0
2019-12-02 12:16:36,719.0
2019-12-02 12:27:33,900.0
2019-12-02 12:38:30,906.0
2019-12-02 12:49:27,917.0
2019-12-02 13:00:24,1044.0
2019-12-02 13:11:21,1003.0
2019-12-02 13:22:18,958.0
2019-12-02 13:33:15,993.0
2019-12-02 13:44:12,1034.0
2019-12-02 13:55:09,1061.0
2019-12-02 14:06:06,1065.0
2019-12-02 14:17:03,1234.0
2019-12-02 14:28:00,1121.0
2019-12-02 14:38:57,1177.0
2019-12-02 14:49:54,1165.0
2019-12-02 15:00:51,1168.0
2019-12-02 15:11:48,1309.0
2019-12-02 15:22:45,1257.0
2019-12-02 15:33:42,1261.0
2019-12-02 15:44:39,1450.0
2019-12-02 15:55:36,1450.0
2019-12-02 16:06:33,1399.0
2019-12-02 16:17:30,1432.0
2019-12-02 16:28:27,1536.0
2019-12-02 16:39:24,1641.0
2019-12-02 16:50:21,1534.0
2019-12-02 17:01:18,1663.0
2019-12-02 17:12:15,1711.0
2019-12-02 17:23:12,1682.0
2019-12-02 17:34:09,1843.0
2019-12-02 17:45:06,1744.0
2019-12-02 17:56:03,1653.0
2019-12-02 18:07:00,1477.0
2019-12-02 18:17:57,1383.0
2019-12-02 18:28:54,1239.0
2019-12-02 18:39:51,1160.0
2019-12-02 18:50:48,1059.0
2019-12-02 19:01:45,1026.0
2019-12-02 19:12:42,1161.0
2019-12-02 19:23:39,1352.0
2019-12-02 19:34:36,1157.0
2019-12-02 19:45:33,1221.0
2019-12-02 19:56:30,1270.0
2019-12-02 20:07:27,1246.0
2019-12-02 20:18:24,1027.0
2019-12-02 20:29:21,1027.0
2019-12-02 20:40:18,1021.0
2019-12-02 20:51:15,921.0
2019-12-02 21:02:12,864.0
2019-12-02 21:13:09,633.0
2019-12-02 21:24:06,504.0
2019-12-02 21:35:03,323.0
2019-12-02 21:46:00,53.0
2019-12-02 21:56:57,53.0
2019-12-02 22:07:54,89.0
2019-12-02 22:18:51,59.0
2019-12-02 22:29:48,69.0
2019-12-02 22:40:45,84.0
2019-12-02 22:51:42,50.0
2019-12-02 23:02:39,50.0
2019-12-02 23:13:36,86.0
2019-12-02 23:24:33,55.0
2019-12-02 23:35:30,88.0
2019-12-02 23:46:27,90.0
2019-12-02 23:57:24,67.0
2019-12-03 00:08:21,65.0
2019-12-03 00:19:18,54.0
2019-12-03 00:30:15,91.0
2019-12-03 00:41:12,92.0
2019-12-03 00:52:09,81.0
2019-12-03 01:03:06,51.0
2019-12-03 01:14:03,51.0
2019-12-03 01:25:00,89.0
2019-12-03 01:35:57,91.0
2019-12-03 01:46:54,85.0
2019-12-03 01:57:51,88.0
2019-12-03 02:08:48,61.0
2019-12-03 02:19:45,96.0
2019-12-03 02:30:42,68.0
2019-12-03 02:41:39,77.0
2019-12-03 02:52:36,50.0
2019-12-03 03:03:33,64.0
2019-12-03 03:14:30,85.0
2019-12-03 03:25:27,62.0
2019-12-03 03:36:24,92.0
2019-12-03 03:47:21,70.0
2019-12-03 03:58:18,61.0
2019-12-03 04:09:15,54.0
2019-12-03 04:20:12,56.0
2019-12-03 04:31:09,54.0
2019-12-03 04:42:06,97.0
2019-12-03 04:53:03,53.0
2019-12-03 05:04:00,62.0
2019-12-03 05:14:57,86.0
2019-12-03 05:25:54,90.0
2019-12-03 05:36:51,64.0
2019-12-03 05:47:48,65.0
2019-12-03 05:58:45,70.0
2019-12-03 06:09:42,85.0
2019-12-03 06:20:39,73.0
2019-12-03 06:31:36,65.0
2019-12-03 06:42:33,63.0
2019-12-03 06:53:30,71.0
2019-12-03 07:04:27,98.0
2019-12-03 07:15:24,99.0
2019-12-03 07:26:21,55.0
2019-12-03 07:37:18,91.0
2019-12-03 07:48:15,71.0
2019-12-03 07:59:12,86.0
2019-12-03 08:10:09,46.0
2019-12-03 08:21:06,310.0
2019-12-03 08:32:03,530.0
2019-12-03 08:43:00,569.0
2019-12-03 08:53:57,551.0
2019-12-03 09:04:54,803.0
2019-12-03 09:15:51,779.0
2019-12-03 09:26:48,805.0
2019-12-03 09:37:45,904.0
2019-12-03 09:48:42,898.0
2019-12-03 09:59:39,927.0
2019-12-03 10:10:36,919.0
2019-12-03 10:21:33,1167.0
2019-12-03 10:32:30,948.0
2019-12-03 10:43:27,691.0
2019-12-03 10:54:24,700.0
2019-12-03 11:05:21,788.0
2019-12-03 11:16:18,703.0
2019-12-03 11:27:15,661.0
2019-12-03 11:38:12,834.0
2019-12-03 11:49:09,935.0
2019-12-03 12:00:06,927.0
2019-12-03 12:11:03,951.0
2019-12-03 12:22:00,981.0
2019-12-03 12:32:57,1038.0
2019-12-03 12:43:54,1035.0
2019-12-03 12:54:51,1058.0
2019-12-03 13:05:48,1107.0
2019-12-03 13:16:45,1040.0
2019-12-03 13:27:42,1155.0
2019-12-03 13:38:39,1045.0
2019-12-03 13:49:36,1148.0
2019-12-03 14:00:33,1383.0
2019-12-03 14:11:30,1301.0
2019-12-03 14:22:27,1437.0
2019-12-03 14:33:24,1328.0
2019-12-03 14:44:21,1384.0
2019-12-03 14:55:18,1449.0
2019-12-03 15:06:15,1502.0
2019-12-03 15:17:12,1471.0
2019-12-03 15:28:09,1546.0
2019-12-03 15:39:06,1643.0
2019-12-03 15:50:03,1696.0
2019-12-03 16:01:00,1677.0
2019-12-03 16:11:57,1621.0
2019-12-03 16:22:54,1629.0
2019-12-03 16:33:51,1814.0
2019-12-03 16:44:48,1839.0
2019-12-03 16:55:45,1980.0
2019-12-03 17:06:42,1736.0
2019-12-03 17:17:39,1802.0
2019-12-03 17:28:36,1827.0
2019-12-03 17:39:33,1801.0
2019-12-03 17:50:30,1597.0
2019-12-03 18:01:27,1568.0
2019-12-03 18:12:24,1480.0
2019-12-03 18:23:21,1194.0
2019-12-03 18:34:18,1129.0
2019-12-03 18:45:15,1096.0
2019-12-03 18:56:12,1263.0
2019-12-03 19:07:09,1267.0
2019-12-03 19:18:06,1196.0
2019-12-03 19:29:03,1203.0
2019-12-03 19:40:00,1299.0
2019-12-03 19:50:57,1331.0
2019-12-03 20:01:54,1178.0
2019-12-03 20:12:51,1126.0
2019-12-03 20:23:48,1218.0
2019-12-03 20:34:45,1033.0
2019-12-03 20:45:42,929.0
2019-12-03 20:56:39,884.0
2019-12-03 21:07:36,647.0
2019-12-03 21:18:33,552.0
2019-12-03 21:29:30,313.0
2019-12-03 21:40:27,56.0
2019-12-03 21:51:24,74.0
2019-12-03 22:02:21,74.0
2019-12-03 22:13:18,62.0
2019-12-03 22:24:15,85.0
2019-12-03 22:35:12,50.0
2019-12-03 22:46:09,81.0
2019-12-03 22:57:06,55.0
2019-12-03 23:08:03,80.0
2019-12-03 23:19:00,50.0
2019-12-03 23:29:57,99.0
2019-12-03 23:40:54,86.0
2019-12-03 23:51:51,84.0
2019-12-04 00:02:48,98.0
2019-12-04 00:13:45,79.0
2019-12-04 00:24:42,53.0
2019-12-04 00:35:39,84.0
2019-12-04 00:46:36,92.0
2019-12-04 00:57:33,63.0
2019-12-04 01:08:30,98.0
2019-12-04 01:19:27,89.0
2019-12-04 01:30:24,71.0
2019-12-04 01:41:21,59.0
2019-12-04 01:52:18,50.0
2019-12-04 02:03:15,60.0
2019-12-04 02:14:12,93.0
2019-12-04 02:25:09,73.0
2019-12-04 02:36:06,52.0
2019-12-04 02:47:03,84.0
